name	genre
Ariana Grande	pop
Baiuca	galician rock
Stan Getz	bossa nova
Stan Getz	cool jazz
Stan Getz	jazz
Stan Getz	jazz saxophone
Stan Getz	latin jazz
Stan Getz	samba-jazz
Pond	indie rock
Pond	neo-psychedelic
Daddy Yankee	latin
Daddy Yankee	latin hip hop
Daddy Yankee	reggaeton
Daddy Yankee	trap latino
Manel	cantautor
Manel	indie catala
Manel	musica catalana
Manel	rock catala
Manel	spanish folk
King Gizzard & The Lizard Wizard	australian indie
King Gizzard & The Lizard Wizard	australian psych
King Gizzard & The Lizard Wizard	double drumming
King Gizzard & The Lizard Wizard	microtonal
King Gizzard & The Lizard Wizard	neo-psychedelic
Novedades Carminha	galego
Novedades Carminha	galician rock
Novedades Carminha	latin rock
Novedades Carminha	punk galego
Novedades Carminha	spanish indie pop
Novedades Carminha	spanish noise pop
The Rolling Stones	album rock
The Rolling Stones	british invasion
The Rolling Stones	classic rock
The Rolling Stones	rock
Don Omar	latin
Don Omar	latin hip hop
Don Omar	puerto rican pop
Don Omar	reggaeton
Don Omar	trap latino
Becky G	latin
Becky G	latin viral pop
Becky G	rap latina
Becky G	reggaeton
Ibeyi	cuban alternative
Ibeyi	etherpop
Bob Marley & The Wailers	reggae
Bob Marley & The Wailers	roots reggae
C. Tangana	urbano espanol
Vetusta Morla	cantautor
Vetusta Morla	latin rock
Vetusta Morla	rock alternativo espanol
Vetusta Morla	spanish indie pop
Vetusta Morla	spanish rock
Janelle Monáe	afrofuturism
Janelle Monáe	alternative r&b
Janelle Monáe	atl hip hop
Janelle Monáe	dance pop
Janelle Monáe	electropop
Janelle Monáe	escape room
Janelle Monáe	neo soul
Janelle Monáe	pop
Janelle Monáe	r&b
Janelle Monáe	urban contemporary
DePedro	cantautor
DePedro	latin rock
DePedro	spanish indie pop
Moby	downtempo
Moby	electronica
HAIM	indie pop
HAIM	metropopolis
Nathy Peluso	r&b en espanol
Nathy Peluso	rap latina
Xoel López	cantautor
Xoel López	latin rock
Xoel López	spanish indie pop
xicu	indie catala
xicu	musica catalana
Doja Cat	dance pop
Doja Cat	pop
Tomasa del Real	chilean indie
Tomasa del Real	neoperreo
Tomasa del Real	rap latina
The Beatles	beatlesque
The Beatles	british invasion
The Beatles	classic rock
